id,retweet_id,twitter_id,user_id,text,language,screen_name,location,in_reply_to_status_id,in_reply_to_user_id,retweet_user_id,truncated,in_reply_to_screen_name,created_at,retweet_count,lat,lon,profile_image_url,source,retweeted,coordinates,favorited,geo,place,in_reply_to_calc,id,user_id,verified,profile_image_url,geo_enabled,followers_count,protected,location,listed_count,utc_offset,statuses_count,description,friends_count,screen_name,lang,favourites_count,name,url,created_at,time_zone,grabbed,name,screen_name,type
29,0,267560370275749888,417371587,"AM Alert: Poll trends up on Prop. 34, down on Prop. 32Sacramento Bee (blog)CAP CITY: Rep. Doris Matsui and Assemblyman Roger Dickinson,...",NULL,SacTownDemocrat,NULL,NULL,NULL,NULL,0,,"2012-11-11 09:32:17",0,NULL,NULL,NULL,dlvr.it,0,NULL,0,NULL,NULL,,29,417371587,0,http://a0.twimg.com/profile_images/2526092783/f4w80bi5hkx66490327o_normal.jpeg,0,883,0,"Sacramento, CA",3,0,2211,"Vote Democrat this November. Don't halt the progress that is being made. ",975,SacTownDemocrat,en,2,"Sac Town Democrats",,"2011-11-20 21:11:11",,1,NULL,NULL,NULL
65,0,266342225166876673,26067145,"RT @baptistpress: Voters retain death penalty in Calif. (Prop. 34 loses by 6 pts.; many call for death penalty reform) http://t.co/pfVP1i9O",NULL,DoctorCara,NULL,NULL,NULL,NULL,0,,"2012-11-08 00:51:49",1,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,baptistpress,65,26067145,0,http://a0.twimg.com/profile_images/2583410129/image_normal.jpg,0,537,0,USA,10,-21600,75962,"Author of award-winning book, The Point System: The Game Every Woman Plays--and Loses! Lover of God and country and lover of @Whedbee & 3 adopted kids. RE agent",368,DoctorCara,en,3,"Cara Whedbee",http://www.thepointsys.com,"2009-03-23 19:13:25","Central Time (US & Canada)",1,NULL,NULL,NULL
122,0,266418628025540608,23147773,"RT @PasStarNews: Proposition 34: Death penalty repeal fails http://t.co/ITUHN9He",NULL,triciazetroc,NULL,NULL,NULL,NULL,0,,"2012-11-08 05:55:25",1,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,PasStarNews,122,23147773,0,http://a0.twimg.com/profile_images/1482030013/p_normal.jpg,0,124,0,"Tauron, California",3,-28800,7322,,243,triciazetroc,en,289,tRiCiA,,"2009-03-07 01:22:28","Pacific Time (US & Canada)",1,NULL,NULL,NULL
127,0,266433635719200768,487823250,"Jerry Brown Votes: California Governor At The Polls On Prop. 30, 34 (VIDEO) http://t.co/94Kg6cg0",NULL,PATRICKTESTING2,NULL,NULL,NULL,NULL,0,,"2012-11-08 06:55:03",0,NULL,NULL,NULL,SocialFlow,0,NULL,0,NULL,NULL,,127,487823250,0,http://a0.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,0,7,0,,0,0,1149,,0,PATRICKTESTING2,en,0,"PATRICK TESTING",,"2012-02-09 19:44:19",,1,NULL,NULL,NULL
144,0,265975953912635393,389112844,"RT @sweetangelface: MoveOn members are recommending ""Yes"" votes on Propositions 30, 34, 36 &amp; 37 &amp;  ""No"" vote on Proposition 32.  ...",NULL,mollycares,NULL,NULL,NULL,NULL,0,,"2012-11-07 00:36:23",5,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,sweetangelface,144,389112844,0,http://a0.twimg.com/profile_images/2370061584/yaerjjj06hfgnymoantg_normal.jpeg,0,82,0,"Vista, California",3,-25200,1002,"Volunteer for Jerry Tetalman - next congressman for the 49th district - bye Issa",132,mollycares,en,2,"Molly Kelly",,"2011-10-11 21:45:14",Arizona,1,NULL,NULL,NULL
183,0,266026620190601216,315510966,"La Californie votait également sur la proposition 34 pour devenir le 18ème Etat américain à abolir la peine de mort",NULL,JeromeMarinSF,NULL,NULL,NULL,NULL,0,,"2012-11-07 03:57:43",0,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,,183,315510966,0,http://a0.twimg.com/profile_images/2684742032/9639e9dc580485147590eb2ac7a2e5e6_normal.jpeg,0,801,0,"San Francisco ",59,-18000,4566,Journaliste,132,JeromeMarinSF,fr,1,"Jérôme Marin",,"2011-06-12 00:35:19","Eastern Time (US & Canada)",1,"Jérôme Marin",JeromeMarinSF,mention
224,0,266037599146213376,18247597,"Early returns show Prop.  34, which would abolish death penalty, losing.  http://t.co/JcWwCOLL",NULL,fox5sandiego,NULL,NULL,NULL,NULL,0,,"2012-11-07 04:41:21",0,NULL,NULL,NULL,TweetDeck,0,NULL,0,NULL,NULL,,224,18247597,0,http://a0.twimg.com/profile_images/454532474/fox-5_twitter_logo_normal.jpg,1,20284,0,"San Diego",930,-28800,7919,"San Diego News including Breaking News, Local News, and San Diego Video News. ",1121,fox5sandiego,en,9,"Fox 5 San Diego",http://www.fox5sandiego.com,"2008-12-19 18:25:26","Pacific Time (US & Canada)",1,"Fox 5 San Diego",fox5sandiego,mention
241,0,266044941506060290,463067136,"California Proposition 34: Death penalty repeal in tight race in early returns - Santa Cruz Sentinel http://t.co/9wmJEgCq",NULL,bicyclepunk,NULL,NULL,NULL,NULL,0,,"2012-11-07 05:10:31",0,NULL,NULL,NULL,"Tweet Button",0,NULL,0,NULL,NULL,,241,463067136,0,http://a0.twimg.com/profile_images/2815392199/42278f5880d70fd2c304ee0a986e2053_normal.jpeg,1,386,0,"Milwaukee, WI & Portland, OR",9,-21600,9174,"38, digital media artist. punk #lesbian Lucille Ball of twitter. #aries #leo #scottishitalian #redhead",143,bicyclepunk,en,7713,bicyclepunk,http://instagram.com/bicyclepunk/,"2012-01-13 17:49:01","Central Time (US & Canada)",1,NULL,NULL,NULL
250,0,266045737077452800,359716213,"They said #DEATH! ""California Proposition 34: Death penalty repeal in tight race in early returns - San Jose Mercury News"" ...",NULL,CaptainSorrow,NULL,NULL,NULL,NULL,0,,"2012-11-07 05:13:41",0,NULL,NULL,NULL,IFTTT,0,NULL,0,NULL,NULL,,250,359716213,0,http://a0.twimg.com/profile_images/1507483639/raven_normal.gif,0,98,0,,0,-18000,18171,,62,CaptainSorrow,en,0,"Capt. Sorrow",,"2011-08-22 02:00:17",Quito,1,NULL,NULL,NULL
256,0,266046924061286400,407336617,"@christinaemilym California props 34 &amp; 36",NULL,christinaemilym,NULL,266046761502642176,407336617,NULL,0,christinaemilym,"2012-11-07 05:18:24",0,NULL,NULL,NULL,"Twitter for Android",0,NULL,0,NULL,NULL,,256,407336617,0,http://a0.twimg.com/profile_images/2670212026/2b8019a44f34c77197d2aff7404c53a2_normal.jpeg,0,53,0,,0,0,1319,"It is what it is...life is what you make of it. ",143,christinaemilym,en,38,"Christina Emily",,"2011-11-07 23:22:05",,1,"Christina Emily",christinaemilym,mention
