id,retweet_id,twitter_id,user_id,text,language,screen_name,location,in_reply_to_status_id,in_reply_to_user_id,retweet_user_id,truncated,in_reply_to_screen_name,created_at,retweet_count,lat,lon,profile_image_url,source,retweeted,coordinates,favorited,geo,place,in_reply_to_calc,id,user_id,verified,profile_image_url,geo_enabled,followers_count,protected,location,listed_count,utc_offset,statuses_count,description,friends_count,screen_name,lang,favourites_count,name,url,created_at,time_zone,grabbed,id,user_id,name,screen_name,indices,text,url,expanded_url,display_url,type,entity_id
1640,0,2.65534E+17,64250735,Video: Parents for Proposition 37: Listen to what parents like Minnie Driver and Mollyâ€_ http://t.co/V4FLiANX,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/5/12 19:21,0,NULL,NULL,NULL,Google,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
1642,0,2.65535E+17,64250735,Video: Parents for Proposition 37 - http://t.co/iQfe6uTK,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/5/12 19:25,0,NULL,NULL,NULL,StumbleUpon,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
2207,0,2.6406E+17,64250735,Trust Us: The Proposition 37 Halloween Video http://t.co/l7qpdA47,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/1/12 17:44,0,NULL,NULL,NULL,NetworkedBlogs,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
4861,0,2.65569E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards -  http://t.co/vsu6lf8u #prop37 #GMO #Label,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/5/12 21:40,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
6285,0,2.61945E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards - http://t.co/LwcOpL9L #Prop37 #Monsanto,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/26/12 21:40,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
7970,0,2.65535E+17,64250735,Video: Parents for Proposition 37 http://t.co/jAqbrgzE,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/5/12 19:24,0,NULL,NULL,NULL,Tweet Button,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
8240,0,2.64784E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards -  http://t.co/vsu6lf8u #prop37 #GMO #Label,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/3/12 17:40,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
8607,0,2.63696E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards -  http://t.co/vsu6lf8u #prop37 #GMO #Label,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/31/12 17:35,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
11416,0,2.64422E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards -  http://t.co/vsu6lf8u #prop37 #GMO #Label,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/2/12 17:40,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
11551,0,2.64047E+17,64250735,"Trust Us: The Proposition 37 Halloween Video: ""Trust Us"" is an ironic public serviceâ€_ http://t.co/bcaFW4fM",NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/1/12 16:49,0,NULL,NULL,NULL,Google,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
11553,0,2.64048E+17,64250735,Trust Us: The Proposition 37 Halloween Video - http://t.co/iigM8T7Q,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/1/12 16:54,0,NULL,NULL,NULL,StumbleUpon,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
11556,0,2.64058E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards -  http://t.co/vsu6lf8u #prop37 #GMO #Label,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/1/12 17:35,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
12182,0,2.62669E+17,64250735,Video: Kids Have Their Say about Proposition 37 and GMO Labeling -  http://t.co/560dVgYe #Kids #Children #GMO #Prop37 #Health,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/28/12 21:36,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
14150,0,2.65494E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards -  http://t.co/vsu6lf8u #prop37 #GMO #Label,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/5/12 16:40,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
14190,0,2.6554E+17,64250735,Video: Parents for Proposition 37: Listen to what parents like Minnie Driver and Molly Ringwald have to say abou... http://t.co/liikkYDO,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/5/12 19:43,0,NULL,NULL,NULL,twitterfeed,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
14696,0,2.64048E+17,64250735,Trust Us: The Proposition 37 Halloween Video http://t.co/4d52ICfb,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/1/12 16:53,0,NULL,NULL,NULL,Tweet Button,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
14698,0,2.6405E+17,64250735,"Trust Us: The Proposition 37 Halloween Video: ""Trust Us"" is an ironic public service announcement by Consumer Ad... http://t.co/fgfdQ6Fe",NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/1/12 17:04,0,NULL,NULL,NULL,twitterfeed,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
15001,0,2.63315E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards -  http://t.co/vsu6lf8u #prop37 #GMO #Label,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/30/12 16:23,0,NULL,NULL,NULL,bitly,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
15530,0,2.61929E+17,64250735,Video: Kids Have Their Say about Proposition 37 and GMO Labeling -  http://t.co/560dVgYe #Kids #Children #GMO #Prop37 #Health,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/26/12 20:35,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
17271,0,2.65556E+17,64250735,Video: Parents for Proposition 37 http://t.co/2IMI0YYa,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/5/12 20:46,0,NULL,NULL,NULL,NetworkedBlogs,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
